ticker,DropDate,Close,PctChange,up_10.0%_from_drop_date,price_at_up,Days_to_be_up_10.0%_from_drop
COTY,2020-05-20,3.28,-27.51%,2020-05-22,3.75,2
COTY,2020-05-21,3.33,-22.32%,2020-05-22,3.75,1
CPRI,2020-03-12,14.34,-21.72%,2020-04-29,16.559999465942383,48
CPRI,2020-03-13,13.93,-27.28%,2020-04-29,16.559999465942383,47
CPRI,2020-03-16,9.66,-33.1%,2020-03-24,11.109999656677246,8
CPRI,2020-03-17,8.15,-42.31%,2020-03-19,10.020000457763672,2
CPRI,2020-03-18,7.52,-49.53%,2020-03-19,10.020000457763672,1
CPRI,2020-03-19,10.02,-49.29%,2020-03-24,11.109999656677246,5
CPRI,2020-03-20,9.87,-48.72%,2020-03-24,11.109999656677246,4
CPRI,2020-03-23,9.22,-42.32%,2020-03-24,11.109999656677246,1
CPRI,2020-03-24,11.11,-26.45%,2020-03-25,12.890000343322754,1
CPRI,2020-04-06,10.74,-21.97%,2020-04-07,12.789999961853027,1
CRL,2025-04-16,104.25,-23.44%,2025-04-24,115.76000213623047,8
CRWD,2024-07-24,258.14,-21.93%,2024-09-20,299.8500061035156,58
CRWD,2024-07-25,254.15,-25.65%,2024-09-20,299.8500061035156,57
CRWD,2024-07-26,256.16,-25.62%,2024-09-20,299.8500061035156,56
CRWD,2024-07-29,258.81,-20.77%,2024-09-20,299.8500061035156,53
CTAS,2020-03-20,41.48,-23.51%,2020-04-09,47.078590393066406,20
CTAS,2020-03-23,37.21,-24.22%,2020-03-24,41.17066955566406,1
CTAS,2020-03-24,41.17,-23.37%,2020-03-25,45.560150146484375,1
CVX,2020-03-20,46.49,-23.54%,2020-03-24,52.094444274902344,4
CVX,2020-03-23,42.44,-25.33%,2020-03-24,52.094444274902344,1
CVX,2020-03-24,52.09,-23.62%,2020-03-26,59.78922653198242,2
CZR,2022-05-12,49.83,-21.04%,2022-05-13,54.9900016784668,1
DAL,2020-03-17,30.97,-20.18%,2020-06-08,36.0757942199707,83
DAL,2020-03-18,22.92,-26.71%,2020-03-24,26.23960304260254,6
DAL,2020-03-19,20.99,-28.57%,2020-03-24,26.23960304260254,5
DAL,2020-03-20,20.83,-34.28%,2020-03-24,26.23960304260254,4
DAL,2020-03-23,21.68,-38.62%,2020-03-24,26.23960304260254,1
DAL,2020-03-24,26.24,-36.66%,2020-03-25,30.347776412963867,1
DAL,2020-03-25,30.35,-24.55%,2020-06-08,36.0757942199707,75
DAL,2020-04-07,21.71,-24.04%,2020-04-14,23.946443557739258,7
DAL,2020-04-08,22.67,-20.63%,2020-04-29,26.65920066833496,21
DD,2025-04-10,57.01,-20.45%,2025-04-24,65.31065368652344,14
DG,2023-06-07,148.25,-21.81%,2023-06-22,164.14749145507812,15
DG,2024-09-04,78.97,-26.5%,2025-03-31,86.92300415039062,208
DG,2024-09-05,78.32,-33.52%,2025-03-27,86.5374755859375,203
DG,2024-09-06,80.43,-29.28%,2025-04-02,89.16700744628906,208
DG,2024-09-09,78.87,-24.33%,2025-03-31,86.92300415039062,203
DHI,2020-03-13,37.17,-20.05%,2020-04-28,44.38484573364258,46
DHI,2020-03-16,29.65,-24.86%,2020-03-25,35.02175521850586,9
DHI,2020-03-17,29.54,-30.89%,2020-03-25,35.02175521850586,8
DHI,2020-03-18,27.22,-33.96%,2020-03-24,31.106279373168945,6
DHI,2020-03-19,28.38,-32.98%,2020-03-25,35.02175521850586,6
DHI,2020-03-20,29.68,-31.88%,2020-03-25,35.02175521850586,5
DHI,2020-03-23,27.96,-26.89%,2020-03-24,31.106279373168945,1
DLTR,2024-09-05,68.47,-20.44%,2024-09-18,75.66999816894531,13
DLTR,2024-09-06,66.5,-22.11%,2024-09-17,73.5,11
DLTR,2024-09-09,67.42,-23.72%,2024-09-18,75.66999816894531,9
DLTR,2024-09-10,65.39,-24.83%,2024-09-17,73.5,7
DOV,2020-03-20,61.35,-21.94%,2020-03-24,69.33992767333984,4
DOV,2020-03-23,60.65,-21.2%,2020-03-24,69.33992767333984,1
DOW,2020-03-12,17.49,-25.36%,2020-03-17,19.65038299560547,5
DOW,2020-03-13,18.98,-31.38%,2020-03-24,21.03182029724121,11
DOW,2020-03-16,16.25,-31.93%,2020-03-17,19.65038299560547,1
DOW,2020-03-17,19.65,-31.14%,2020-03-25,22.44280433654785,8
DOW,2020-03-18,19.53,-26.39%,2020-03-25,22.44280433654785,7
DRI,2020-03-12,50.79,-20.45%,2020-03-13,56.067996978759766,1
DRI,2020-03-13,56.07,-23.76%,2020-04-27,62.145179748535156,45
DRI,2020-03-16,42.24,-26.45%,2020-03-25,50.171077728271484,9
DRI,2020-03-17,35.99,-33.71%,2020-03-24,46.2569694519043,7
DRI,2020-03-18,29.32,-38.53%,2020-03-19,36.411590576171875,1
DRI,2020-03-19,36.41,-38.28%,2020-03-24,46.2569694519043,5
DRI,2020-03-20,33.48,-41.72%,2020-03-24,46.2569694519043,4
DRI,2020-03-23,35.22,-39.19%,2020-03-24,46.2569694519043,1
DRI,2020-03-24,46.26,-26.36%,2020-03-26,51.982215881347656,2
DVA,2022-11-03,68.54,-25.83%,2023-01-04,77.1500015258789,62
DVA,2022-11-04,70.38,-22.69%,2023-01-05,78.5,62
DVN,2020-02-27,11.46,-20.18%,2020-12-04,12.895262718200684,281
DVN,2020-02-28,11.87,-22.77%,2021-01-05,13.483272552490234,312
DVN,2020-03-02,11.93,-22.82%,2021-01-05,13.483272552490234,309
DVN,2020-03-03,11.55,-21.47%,2020-12-04,12.895262718200684,276
DVN,2020-03-10,6.59,-22.01%,2020-04-23,7.812582492828369,44
DVN,2020-03-11,6.15,-31.34%,2020-04-08,6.955196380615234,28
DVN,2020-03-12,5.37,-42.26%,2020-03-13,6.430413246154785,1
DVN,2020-03-13,6.43,-46.02%,2020-04-09,7.147368431091309,27
DVN,2020-03-16,5.6,-40.9%,2020-04-03,6.1938934326171875,18
DVN,2020-03-17,4.77,-38.48%,2020-03-24,5.476939678192139,7
DVN,2020-03-18,4.0,-35.05%,2020-03-19,4.841288089752197,1
DVN,2020-03-19,4.84,-24.6%,2020-03-24,5.476939678192139,5
DVN,2020-03-20,4.49,-22.69%,2020-03-24,5.476939678192139,4
DVN,2020-03-23,4.57,-24.76%,2020-03-24,5.476939678192139,1
DVN,2025-04-09,30.64,-20.15%,2025-05-13,33.815250396728516,34
DVN,2025-04-10,27.37,-21.48%,2025-04-22,30.768028259277344,12
DXC,2019-08-13,33.03,-22.38%,2019-11-29,36.39487075805664,108
DXC,2019-08-14,30.76,-27.63%,2019-09-09,34.08423614501953,26
DXC,2019-08-15,29.65,-34.88%,2019-08-21,33.42313003540039,6
DXC,2019-08-16,30.8,-31.85%,2019-09-09,34.08423614501953,24
DXC,2019-08-19,32.54,-26.78%,2019-11-15,36.297367095947266,88
DXC,2019-08-20,32.59,-21.45%,2019-11-15,36.297367095947266,87
DXC,2020-03-10,16.11,-21.71%,2020-04-28,17.979999542236328,49
DXC,2020-03-11,16.11,-24.79%,2020-04-28,17.979999542236328,48
DXC,2020-03-12,13.17,-27.93%,2020-03-13,14.846697807312012,1
DXC,2020-03-13,14.85,-28.15%,2020-04-27,16.8700008392334,45
DXC,2020-03-16,10.64,-27.12%,2020-03-19,12.228423118591309,3
DXC,2020-03-17,9.81,-29.48%,2020-03-19,12.228423118591309,2
DXC,2020-03-18,9.13,-32.86%,2020-03-19,12.228423118591309,1
DXC,2020-03-19,12.23,-28.64%,2020-03-24,14.989999771118164,5
DXC,2020-03-20,11.44,-29.54%,2020-03-24,14.989999771118164,4
DXC,2020-03-23,10.63,-24.89%,2020-03-24,14.989999771118164,1
DXC,2023-08-08,20.04,-24.76%,2023-10-10,22.200000762939453,63
DXC,2023-08-09,20.08,-29.11%,2023-10-10,22.200000762939453,62
DXC,2023-08-10,20.26,-23.32%,2023-10-11,22.440000534057617,62
DXCM,2024-07-30,69.7,-24.93%,2024-08-19,77.69000244140625,20
DXCM,2024-07-31,67.82,-32.47%,2024-08-06,75.25,6
DXCM,2024-08-01,70.32,-38.89%,2024-08-19,77.69000244140625,18
DXCM,2024-08-02,72.3,-31.51%,2024-12-03,80.91000366210938,123
DXCM,2024-08-05,72.43,-23.92%,2024-12-03,80.91000366210938,120
